ID_Medicamento,Principio_Activo,Nombre_Comercial,Laboratorio,Formato,Dosis_mg,Unidades_por_Caja,Precio_BS,Precio_USD,Es_Marca,URL_Fuente,Fecha_Scrape,Fabricante_Origen,Fuente_Origen,Fuente_Origen_URL,Proxy_Origen,Categoria_antibiotico,Categoria_antidepresivo,Categoria_antifúngico,Categoria_antihistaminico,Categoria_cardiovascular,Categoria_gastrointestinal,Categoria_neurológico,Cadena_Farmatodo,Cadena_Locatel,Segmento_Medio,Segmento_Alto,Segmento_Bajo,residuos,y_hat,Precio_USD_Estimado
145,Cetirizina,TALZIC COMP 10MG X10 ELM,ELMOR,Tableta,10,10,730.05,1.54,1,https://www.farmaciasaas.com/elmor-talzic-comp-10mg-x10-elm-10310/p,2026-04-06,Venezuela,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.28.274,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.4375985142412073,1.3697625952716526,3.1
31,Ibuprofeno,Ibuprofeno 800 Mg Brugesic Forte Elmor Caja X 10 Comprimidos,Elmor,Tableta,800,10,3725.0,7.8577,1,https://www.farmatodo.com.ve/producto/114937459-ibuprofeno-800-mg-brugesic-forte-x-10-comprimidos-elmor,2026-04-06,Venezuela,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.40.290,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5706575520692649,1.610629585167995,4.4
10,Amlodipina,Amlodipina 10 Mg Genven Caja X 10 Comprimidos,Genven,Tableta,10,10,660.0,1.3922,0,https://www.farmatodo.com.ve/producto/113016375-amlodipina-10mg-10comprimidos,2026-04-06,Venezuela,Farmatodo,https://www.farmatodo.com.ve/producto/113016375-amlodipina-10mg-10comprimidos,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.1706708202733288,1.0428842649065562,1.86
122,Sertralina,SERTRALINA  50 MG X10 COMPRIMIDO GENVEN,GENVEN,Tableta,50,10,2004.97,4.2294,0,https://www.locatel.com.ve/genven_sertralina_compd_50mgx10/p,2026-04-06,Venezuela,Farmatodo,https://www.farmatodo.com.ve/producto/111025189-sertralina-50-mg-10-comprimidos-genven,0,0,1,0,0,0,0,0,0,1,1,0,0,-0.09350012802085028,1.7477966767631774,4.58
158,Loratadina,LORATADINA COMP 10MG X10 CCM,CR CCM,Tableta,10,10,474.06,1.0,0,https://www.farmaciasaas.com/ccm-loratadina-comp-10mg-x10-ccm-53569/p,2026-04-06,Colombia,myHealthBox,https://myhealthbox.eu/es/loratadina-10-mg-comprimidos/6765096,0,0,0,0,1,0,0,0,0,0,0,0,1,0.10255201180400919,0.5905951687559361,0.75
19,Atorvastatina,Atorvastatina 40 Mg Vaspitor Rowe Caja X 30 Comprimidos,Rowe,Tableta,40,30,6780.0,14.302,1,https://www.farmatodo.com.ve/producto/115620509-vaspitor-atorvastatina-40-mg-rowe-x-30-comprimidos,2026-04-06,República Dominicana,Farmatodo,https://www.farmatodo.com.ve/producto/115620509-vaspitor-atorvastatina-40-mg-rowe-x-30-comprimidos,0,0,0,0,0,1,0,0,1,0,0,1,0,0.06721769436219116,2.660765844447469,13.09
135,Amoxicilina,AMOXIVAL TAB REC 875MG X20 VLM,VALMOR,Tableta,875,20,8917.06,18.81,1,https://www.farmaciasaas.com/valmorca-amoxival-tab-rec-875mg-x20-vlm-98747/p,2026-04-06,Venezuela, INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.40.054,0,1,0,0,0,0,0,0,0,0,1,0,0,0.50592823917215,2.4802586215383093,11.08
70,Acetaminofen,ACETAMINOFEN 500 MG X10 COMPRIMIDOS GENVEN,GENVEN,Tableta,500,10,287.97,0.6075,0,https://www.locatel.com.ve/acetaminofen_gv_500mg_x10_comp/p,2026-04-06,Venezuela,Farmatodo,https://www.farmatodo.com.ve/producto/113016367-acetaminofen-500mg-10tabletas,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.5287809057496295,1.003461082879267,1.72
96,Ibuprofeno,LUMBAX 800 MG X6 COMPRIMIDOS .RECUBIERTOS,VARGAS,Tableta,800,6,3303.99,6.9696,1,https://www.locatel.com.ve/lumbax_comp-rec-_800mg_x6/p,2026-04-06,Venezuela,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.37.320,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5567380222786875,1.5188962810581943,3.98
126,Acetaminofen,APYRENE CAP BLD 650MG X10 FC,FC PHARMA,Cápsula,650,10,1891.5,3.99,1,https://www.farmaciasaas.com/fc-pharma-apyrene-cap-bld-650mg-x10-fc-8363/p,2026-04-06,Venezuela,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.34.521,0,0,0,0,0,0,0,0,0,0,1,0,0,0.04254056318334554,1.564895346580082,4.13
100,Loratadina,GENVEN LORATADINA  10 MG X10 COMPRIMIDOS,GENVEN,Tableta,10,10,799.77,1.6871,0,https://www.locatel.com.ve/loratadina_genven_10mg_x_10_comprimidos/p,2026-04-06,Venezuela,myHealthBox,https://myhealthbox.eu/es/loratadina-10-mg-comprimidos/4518722,0,0,0,0,1,0,0,0,0,1,1,0,0,0.13439997500837153,0.8540625701587508,1.29
172,Nitrofurantoina,MAXIFUR CAP 50MG X 30,TIARES,Cápsula,50,30,4811.71,10.15,1,https://www.farmaciasaas.com/tiares-maxifur-cap-50mg-x-30-30340/p,2026-04-06,India,Farmatodo,https://www.farmatodo.com.ve/producto/116294531-maxifur-50mg-30capsulas-nitrofurantoina-tiares,1,1,0,0,0,0,0,0,0,0,0,0,1,0.21685332972965332,2.1945861681764747,7.5
102,Loratadina,LA SANTE LORATADINA 10 MG X 10 TABLETAS,LA SANTE,Tableta,10,10,975.86,2.0585,0,https://www.locatel.com.ve/la_sante_loratadina_10mg_x_10_tabletas/p,2026-04-06,Venezuela,Pharmetique,https://www.pharmetiquelabs.com.ve/producto/loratadina-10mg-x20-tabletas-la-santelinea-alergo-respiratoria/,0,0,0,0,1,0,0,0,0,1,1,0,0,0.26386202954173177,0.8540625701587508,1.29
142,Atorvastatina,ATORVASTATINA TAB 20MG X30 ALESS,ALESS,Tableta,20,30,1531.21,3.23,0,https://www.farmaciasaas.com/aless-atorvastatina-tab-20mg-x30-aless-23795/p,2026-04-06,India,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.G.44.252,0,0,0,0,0,1,0,0,0,0,0,0,1,0.20106965976624736,1.2411323332919393,2.31
30,Fluconazol,Fluconazol 150 Mg Genven Caja X 2 Cápsulas,Leti,Cápsula,150,2,1370.0,2.8899,0,https://www.farmatodo.com.ve/producto/111023875-fluconazol-150mg-2capsulas-genven,2026-04-06,Venezuela,Farmatodo,https://www.farmatodo.com.ve/producto/111023875-fluconazol-150mg-2capsulas-genven,0,0,0,1,0,0,0,0,1,0,1,0,0,-0.0019170255014515636,1.3603004758605033,2.88
118,Omeprazol,OMEPRAZOL 40 ML X10 CAPSULAS GENVEN,GENVEN,Cápsula,40,10,2645.61,5.5808,0,https://www.locatel.com.ve/omeprazol_gv_caps_40mg_x10/p,2026-04-06,Venezuela,Farmatodo,https://www.farmatodo.com.ve/producto/111946840-omeprazol-40mg-10-capsulas,0,0,0,0,0,0,1,0,0,1,1,0,0,0.6880910794848831,1.1960652390091395,2.35
161,Losartan Potasico,LOSARTAN POTA COMP 50MG X10 LETI,LETI,Tableta,50,10,350.8,0.74,0,https://www.farmaciasaas.com/farmacia-saas-losartan-pota-comp-50mg-x10-leti-3399/p,2026-04-06,Venezuela,Farmatodo,https://www.farmatodo.com.ve/producto/111032110-losartan-potasico-50mg-10-comprimidos,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.5011949486368953,1.055080061863333,1.9
32,Ibuprofeno,Ibuprofeno 600 Mg Anapir Fc Laboratorios Caja X 10 Cápsulas Blandas,FC Laboratorios,Cápsula,600,10,2180.0,4.5986,1,https://www.farmatodo.com.ve/producto/116412605-ibuprofeno-600-mg-anapir-fc-laboratorios-caja-x-10-capsulas-blandas,2026-04-06,Argentina,Farmatodo,https://www.farmatodo.com.ve/producto/116412605-ibuprofeno-600-mg-anapir-fc-laboratorios-caja-x-10-capsulas-blandas,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.4615022200596415,2.184018786545536,8.12
13,Amoxicilina,//Amoxiduo 875mg 14comprimidos Amoxicilina Megalabs,Roemmers,Tableta,875,14,6705.0,14.1438,1,https://www.farmatodo.com.ve/producto/111020693-amoxicilina-amoxiduo-875mg-14comp,2026-04-06,Argentina,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.31.313,0,1,0,0,0,0,0,0,1,0,0,1,0,-0.2594356442656678,2.977026851535033,18.36
52,Metronidazol,Metronidazol 500 Mg Alpharma Caja X 10 Tabletas,Alpharma,Tableta,500,10,2410.0,5.0837,0,https://www.farmatodo.com.ve/producto/114919411-metronidazol-500-mg-x-10-tabletas-alpharma,2026-04-06,México,Alpharma,https://www.laboratoriosalpharma.com.mx,1,1,0,0,0,0,0,0,1,0,0,0,1,0.4481907252382824,1.3574223382783084,2.7
42,Losartan Potasico,Losartán Potásico 50 Mg Calox Caja X 10 Tabletas,Calox,Tableta,50,10,385.0,0.8121,0,https://www.farmatodo.com.ve/producto/112225351-losartan-potasico-50mg-10tabletas-calox,2026-04-06,Venezuela,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.G.34.265,0,0,0,0,0,1,0,0,1,0,1,0,0,-0.4605936681273579,1.055080061863333,1.9
86,Atorvastatina,CALOX ATORVASTATINA 20MG X 30 TABLETAS,CALOX,Tableta,20,30,3178.53,6.7049,0,https://www.locatel.com.ve/calox_atorvastatina_20mg_x_30_tabletas/p,2026-04-06,Costa Rica,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.G.36.817,0,0,0,0,0,1,0,0,0,1,1,0,0,0.5372567554077683,1.504599734694754,3.32
94,Fluconazol,GNC FLUCONAZOL 150 MG X2 CAPSULAS.,VALMOR,Cápsula,150,2,1310.44,2.7643,0,https://www.locatel.com.ve/fluconazol_gnc_caps_150mg_x2/p,2026-04-06,Venezuela,INHRR,https://inhrr.gob.ve/sismed/productos-farma/E.F.G.34.692,0,0,0,1,0,0,0,0,0,1,1,0,0,-0.03473855486923294,1.3603004758605033,2.88
